x 0 1 2 3 4 5 6 7 
1380.000000 14.965274 50.593663 18.464232 7.973231 50.532698 35.235777 12.953757 12.953757 
1390.000000 15.076360 50.958185 18.594873 8.032015 50.891690 35.490253 13.047557 13.047557 
1400.000000 15.186387 51.319974 18.730510 8.089558 51.253542 35.745263 13.141356 13.141356 
1410.000000 15.293690 51.680584 18.862583 8.148098 51.618182 36.008932 13.235156 13.235156 
1420.000000 15.402355 52.047465 19.004264 8.203953 51.978246 36.261143 13.328956 13.328956 
1430.000000 15.515143 52.412256 19.145197 8.260204 52.329447 36.510557 13.422756 13.422756 
1440.000000 15.627403 52.767237 19.276224 8.319129 52.695802 36.761036 13.516556 13.516556 
1450.000000 15.736029 53.127149 19.408044 8.378150 53.054222 37.014713 13.610356 13.610356 
1460.000000 15.850067 53.481648 19.546594 8.435070 53.417289 37.263993 13.704155 13.704155 
1470.000000 15.958013 53.820547 19.681979 8.495568 53.755837 37.511541 13.797955 13.797955 
1480.000000 16.066602 54.188822 19.819638 8.551849 54.126052 37.767616 13.891755 13.891755 
1490.000000 16.170197 54.551951 19.953541 8.610119 54.492335 38.023425 13.985555 13.985555 
1500.000000 16.277802 54.922048 20.085434 8.668182 54.854259 38.286562 14.079355 14.079355 
1510.000000 16.384196 55.282390 20.214570 8.728173 55.213608 38.536774 14.173154 14.173154 
1520.000000 16.497212 55.649378 20.345585 8.786395 55.580535 38.782058 14.266954 14.266954 
1530.000000 16.606066 56.019691 20.480752 8.843542 55.951823 39.023877 14.360754 14.360754 
1540.000000 16.714428 56.380247 20.609948 8.903184 56.306383 39.287679 14.454554 14.454554 
1550.000000 16.825250 56.739248 20.745381 8.961671 56.651364 39.542023 14.548354 14.548354 
1560.000000 16.936374 57.106719 20.879922 9.018875 57.014288 39.801162 14.642154 14.642154 
1570.000000 17.044736 57.479390 21.018123 9.074913 57.385576 40.049110 14.735953 14.735953 
1580.000000 17.154422 57.839946 21.154422 9.132858 57.740279 40.296925 14.829753 14.829753 
