x 0 1 2 3 4 5 6 7 8 
3320 372249 260820 52015 1735 10 2278031 748233 1651157 6630539 
3330 370709 262571 52431 1752 10 2279226 753617 1652716 6655960 
3340 369140 264334 52836 1780 15 2280545 759065 1654129 6681322 
3350 367604 265990 53278 1807 15 2281597 764587 1655628 6706838 
3360 366039 267661 53752 1817 15 2282641 770172 1656998 6732140 
3370 364439 269399 54172 1845 15 2283962 775644 1658430 6757399 
3380 362792 271129 54660 1864 15 2285056 780962 1659899 6782939 
3390 361169 272900 55082 1880 15 2286575 786354 1661337 6808212 
3400 359642 274625 55498 1899 15 2287781 791803 1662757 6833522 
3410 357865 276536 55907 1915 15 2288904 797258 1664227 6858975 
3420 356357 278341 56281 1931 15 2290503 802651 1665855 6883834 
3430 354916 279990 56717 1958 15 2292280 808009 1667455 6908669 
3440 353253 281739 57208 1982 16 2293682 813438 1668867 6933817 
3450 351651 283481 57692 1986 16 2294969 818851 1670406 6959166 
3460 350154 285106 58185 2009 16 2296245 824344 1671913 6984414 
3470 348513 286879 58671 2018 16 2297586 829578 1673424 7009958 
3480 347028 288494 59172 2051 16 2298405 835117 1674924 7035494 
3490 345481 290162 59667 2077 16 2299534 840523 1676484 7060881 
3500 343948 291823 60147 2091 16 2300929 845927 1678021 7086147 
3510 342374 293619 60596 2109 16 2302076 851410 1679570 7111360 
3520 340769 295309 61100 2124 16 2303240 856764 1681080 7137028 
3530 339200 296994 61576 2127 16 2304260 862350 1682491 7162520 
3540 337979 298519 62033 2136 16 2306035 867411 1684267 7187527 
3550 337127 299959 62423 2161 16 2308557 872409 1686401 7211351 
3560 335620 301550 62904 2200 16 2310010 877915 1687876 7236465 
3570 334026 303250 63424 2208 16 2310969 883334 1689385 7262079 
3580 332554 304881 63916 2220 16 2312316 888582 1691008 7287552 
3590 331255 306521 64352 2245 16 2314096 893658 1692940 7312380 
3600 329785 308175 64811 2287 17 2315238 898870 1694421 7338122 
3610 328200 309878 65176 2382 23 2316432 904310 1695797 7363504 
3620 326613 311574 65667 2390 23 2317732 909800 1697252 7388783 
3630 325049 313306 66046 2438 23 2318914 915149 1698761 7414354 
3640 323517 314973 66540 2464 23 2320028 920489 1700279 7439984 
3650 321898 316735 66991 2492 23 2321149 925927 1701791 7465396 
3660 320361 318494 67403 2520 23 2322630 931385 1703368 7490363 
3670 318801 320174 67875 2547 23 2323618 936762 1704832 7516133 
3680 317170 321885 68350 2590 23 2324721 942233 1706234 7541507 
3690 315598 323616 68768 2613 24 2326126 947491 1707752 7567082 
3700 314178 325277 69218 2614 24 2327382 953175 1709463 7591779 
3710 312669 327006 69690 2615 24 2328716 958602 1711007 7616951 
3720 311117 328659 70200 2615 24 2329858 963958 1712481 7642625 
3730 309580 330284 70729 2615 24 2330952 969413 1713949 7668145 
3740 308037 331944 71232 2615 24 2332228 974880 1715446 7693556 
3750 306479 333648 71727 2620 24 2333114 980472 1716981 7718947 
3760 304974 335328 72124 2659 27 2334303 986041 1718554 7744033 
3770 303417 337058 72558 2681 27 2335518 991460 1720053 7769406 
3780 301840 338731 73063 2682 27 2337061 997038 1721589 7794245 
3790 300382 340330 73527 2709 27 2338066 1002610 1723062 7819699 
3800 298834 341990 74011 2728 27 2339316 1008174 1724603 7844879 
3810 297247 343699 74502 2743 27 2340299 1013609 1726087 7870463 
3820 295686 345335 74997 2768 27 2341226 1018957 1727564 7896366 
3830 294215 346927 75506 2790 27 2342375 1024429 1729045 7921855 
3840 292676 348566 76024 2804 27 2343757 1029794 1730492 7947296 
3850 291290 350052 76536 2817 27 2345191 1035144 1732022 7972798 
3860 289900 351621 77022 2817 27 2346563 1040541 1733606 7998035 
3870 288443 353225 77534 2817 27 2347835 1045877 1735179 8023478 
3880 286907 354978 77965 2817 27 2349220 1051439 1736725 8048446 
3890 285559 356500 78467 2817 27 2350783 1056867 1738424 8073239 
3900 284509 358057 78852 2817 27 2353406 1061691 1740756 8097027 
3910 283283 359728 79226 2817 27 2355360 1066839 1742726 8121512 
3920 282038 361491 79572 2829 27 2357322 1071858 1744714 8145987 
3930 280433 363152 80046 2850 28 2358620 1077241 1746117 8171638 
3940 278815 364914 80519 2865 28 2359638 1082827 1747520 8197048 
3950 277194 366701 80926 2892 28 2360970 1088175 1748936 8222572 
3960 275605 368336 81450 2911 28 2361980 1093578 1750398 8248396 
3970 274073 369957 81944 2939 28 2362898 1099141 1751722 8274042 
3980 272574 371591 82397 2956 28 2363882 1104562 1753210 8299765 
3990 270970 373311 82881 2970 28 2364950 1109789 1754631 8325647 
4000 269499 374894 83371 2991 28 2365965 1115406 1756118 8351119 
4010 267869 376587 83858 3006 28 2367201 1120917 1757516 8376565 
4020 266358 378118 84406 3030 28 2368069 1126344 1758909 8402518 
4030 264877 379580 84967 3065 28 2369193 1131631 1760274 8428480 
4040 263365 381200 85459 3083 28 2370288 1137058 1761715 8454209 
4050 261806 382882 85951 3099 28 2371249 1142426 1763132 8480026 
4060 260315 384512 86419 3118 28 2372545 1147807 1764561 8505519 
4070 258832 386069 86978 3131 28 2373548 1153222 1766021 8531058 
4080 257247 387699 87491 3151 28 2374804 1158902 1767503 8556119 
4090 255707 389314 87961 3171 28 2375918 1164186 1768970 8582021 
4100 254115 390984 88435 3202 28 2377058 1169709 1770396 8607366 
4110 252551 392708 88897 3219 28 2378479 1175138 1771864 8632560 
4120 251086 394190 89473 3241 30 2379156 1180468 1773195 8658928 
4130 249546 395889 89937 3263 30 2380493 1186068 1774679 8683839 
4140 248100 397564 90389 3268 30 2381903 1191370 1776215 8709261 
4150 246614 399152 90921 3285 30 2382941 1196745 1777710 8734941 
